age,weight_kg,training_hours,training_days,sleep_hours,rest_days,intensity,weekly_load,pain,competition_minutes,risk
20.0,74.4,6.9,5.0,8.9,2.0,8.0,1800.0,0.0,21.0,Bajo
35.0,81.4,5.0,3.0,7.8,4.0,8.0,1800.0,0.0,76.0,Bajo
33.0,85.6,9.1,3.0,7.2,4.0,7.0,1800.0,3.0,61.0,Medio
28.0,68.9,11.3,6.0,6.5,1.0,6.0,1800.0,2.0,48.0,Medio
27.0,91.4,5.6,6.0,7.6,1.0,8.0,1800.0,0.0,52.0,Medio
37.0,82.8,8.5,2.0,8.4,5.0,9.0,1800.0,2.0,137.0,Medio
19.0,57.4,6.3,2.0,6.2,5.0,7.0,1800.0,0.0,242.0,Bajo
34.0,56.5,8.1,5.0,7.2,2.0,10.0,1800.0,6.0,157.0,Medio
22.0,81.8,11.7,6.0,8.2,1.0,8.0,1800.0,1.0,179.0,Alto
20.0,79.1,8.5,1.0,4.9,6.0,7.0,1800.0,4.0,74.0,Medio
30.0,80.7,1.7,6.0,7.1,1.0,7.0,1280.0,4.0,107.0,Medio
40.0,81.6,8.4,3.0,6.7,4.0,7.0,1800.0,0.0,130.0,Medio
34.0,84.9,10.7,4.0,7.0,3.0,4.0,1800.0,2.0,54.0,Medio
35.0,94.3,6.3,1.0,6.6,6.0,6.0,1800.0,3.0,70.0,Medio
34.0,67.6,10.0,5.0,7.4,2.0,7.0,1800.0,2.0,160.0,Medio
36.0,66.8,4.9,5.0,9.5,2.0,6.0,1800.0,3.0,176.0,Medio
29.0,67.8,2.5,4.0,6.8,3.0,7.0,1625.0,0.0,105.0,Bajo
20.0,85.8,7.4,5.0,7.6,2.0,7.0,1800.0,3.0,16.0,Medio
37.0,98.2,1.7,6.0,9.6,1.0,8.0,1485.0,1.0,79.0,Bajo
28.0,76.4,6.3,6.0,6.5,1.0,8.0,1800.0,3.0,0.0,Medio
29.0,50.0,10.9,5.0,9.4,2.0,7.0,1800.0,4.0,105.0,Medio
26.0,59.8,1.3,6.0,7.2,1.0,4.0,544.0,4.0,118.0,Bajo
22.0,71.2,3.2,5.0,9.3,2.0,10.0,1800.0,3.0,81.0,Bajo
39.0,74.7,3.9,5.0,8.1,2.0,6.0,1800.0,3.0,117.0,Bajo
35.0,76.7,6.8,4.0,7.6,3.0,6.0,1800.0,4.0,129.0,Alto
32.0,82.5,5.9,5.0,7.1,2.0,6.0,1800.0,5.0,118.0,Medio
27.0,77.9,11.2,1.0,6.5,6.0,6.0,1800.0,2.0,16.0,Bajo
36.0,95.6,9.9,4.0,7.3,3.0,9.0,1800.0,3.0,82.0,Medio
30.0,73.2,8.5,3.0,8.3,4.0,9.0,1800.0,4.0,129.0,Alto
28.0,70.8,7.4,6.0,7.2,1.0,7.0,1800.0,1.0,211.0,Medio
28.0,88.2,8.2,1.0,6.8,6.0,6.0,1800.0,0.0,81.0,Bajo
23.0,62.0,4.4,4.0,6.9,3.0,8.0,1800.0,3.0,139.0,Alto
20.0,87.1,9.6,2.0,8.4,5.0,7.0,1800.0,2.0,161.0,Bajo
30.0,83.3,3.7,6.0,8.7,1.0,6.0,1800.0,0.0,86.0,Bajo
38.0,80.1,9.5,6.0,6.4,1.0,7.0,1800.0,3.0,180.0,Medio
19.0,102.6,10.6,2.0,6.4,5.0,6.0,1800.0,5.0,184.0,Medio
37.0,73.9,7.6,6.0,7.7,1.0,7.0,1800.0,0.0,197.0,Medio
37.0,108.8,6.5,3.0,9.0,4.0,7.0,1800.0,4.0,132.0,Bajo
24.0,79.1,8.2,6.0,8.6,1.0,8.0,1800.0,0.0,265.0,Medio
32.0,65.4,1.0,5.0,5.7,2.0,5.0,434.0,1.0,57.0,Bajo
21.0,82.9,7.9,1.0,6.9,6.0,8.0,1800.0,6.0,249.0,Medio
35.0,68.0,6.7,2.0,6.1,5.0,5.0,1800.0,2.0,154.0,Bajo
34.0,72.2,6.8,3.0,6.9,4.0,5.0,1800.0,2.0,194.0,Medio
26.0,87.2,9.1,2.0,9.1,5.0,6.0,1800.0,4.0,78.0,Bajo
19.0,89.2,6.8,1.0,5.5,6.0,5.0,1800.0,0.0,159.0,Bajo
40.0,73.9,3.6,6.0,5.3,1.0,8.0,1800.0,2.0,200.0,Medio
28.0,94.8,6.6,6.0,6.2,1.0,5.0,1800.0,2.0,24.0,Medio
38.0,97.0,7.2,3.0,7.5,4.0,5.0,1800.0,6.0,89.0,Medio
33.0,100.7,7.3,2.0,7.9,5.0,9.0,1800.0,0.0,0.0,Bajo
35.0,88.9,7.5,2.0,7.7,5.0,5.0,1800.0,1.0,88.0,Bajo
35.0,99.7,10.1,6.0,8.6,1.0,6.0,1800.0,0.0,43.0,Bajo
22.0,57.5,3.7,2.0,5.1,5.0,5.0,1800.0,0.0,85.0,Bajo
26.0,77.9,7.5,1.0,8.6,6.0,8.0,1800.0,4.0,300.0,Medio
28.0,70.7,10.9,3.0,6.8,4.0,8.0,1800.0,2.0,220.0,Alto
29.0,83.5,1.8,3.0,8.1,4.0,8.0,1325.0,1.0,0.0,Bajo
19.0,74.6,7.5,4.0,5.6,3.0,7.0,1800.0,1.0,139.0,Bajo
30.0,79.8,5.2,3.0,7.2,4.0,7.0,1800.0,1.0,156.0,Medio
21.0,106.5,5.9,6.0,7.5,1.0,6.0,1800.0,1.0,76.0,Bajo
35.0,79.8,4.3,4.0,8.6,3.0,5.0,1800.0,0.0,112.0,Bajo
33.0,87.4,6.5,6.0,5.3,1.0,9.0,1800.0,2.0,119.0,Alto
39.0,79.0,12.5,3.0,7.2,4.0,8.0,1800.0,1.0,6.0,Medio
35.0,83.0,3.2,4.0,5.9,3.0,5.0,1350.0,1.0,28.0,Bajo
26.0,82.1,3.5,3.0,7.8,4.0,7.0,1800.0,3.0,112.0,Bajo
40.0,87.8,3.1,5.0,8.1,2.0,6.0,1800.0,3.0,107.0,Medio
27.0,97.1,12.2,5.0,8.7,2.0,4.0,1800.0,1.0,50.0,Medio
25.0,103.4,5.6,2.0,6.6,5.0,7.0,1800.0,2.0,44.0,Medio
38.0,86.0,6.9,6.0,8.3,1.0,6.0,1800.0,7.0,94.0,Medio
26.0,89.7,5.8,6.0,8.8,1.0,5.0,1800.0,6.0,162.0,Medio
19.0,67.0,4.2,6.0,5.2,1.0,4.0,1647.0,0.0,95.0,Medio
28.0,80.9,6.3,2.0,7.9,5.0,4.0,1800.0,0.0,214.0,Bajo
36.0,94.2,14.4,5.0,8.4,2.0,6.0,1800.0,0.0,51.0,Bajo
22.0,93.3,11.2,1.0,7.2,6.0,6.0,1800.0,4.0,114.0,Medio
28.0,84.8,4.4,1.0,5.7,6.0,5.0,1800.0,1.0,75.0,Bajo
20.0,93.5,8.9,6.0,8.3,1.0,8.0,1800.0,3.0,141.0,Alto
33.0,88.4,4.5,1.0,5.8,6.0,6.0,1800.0,6.0,45.0,Medio
28.0,97.6,1.7,6.0,7.0,1.0,8.0,1550.0,2.0,235.0,Medio
25.0,85.8,10.1,3.0,7.2,4.0,6.0,1800.0,4.0,0.0,Medio
23.0,77.4,10.5,2.0,8.1,5.0,5.0,1800.0,3.0,220.0,Bajo
30.0,86.4,10.1,1.0,6.4,6.0,7.0,1800.0,1.0,106.0,Bajo
33.0,50.0,5.6,5.0,6.4,2.0,4.0,1800.0,4.0,139.0,Bajo
39.0,87.0,6.5,5.0,7.3,2.0,7.0,1800.0,1.0,193.0,Bajo
28.0,50.0,9.2,3.0,8.4,4.0,5.0,1800.0,5.0,160.0,Bajo
21.0,59.6,8.2,5.0,9.9,2.0,8.0,1800.0,1.0,49.0,Bajo
37.0,87.9,5.8,2.0,5.4,5.0,6.0,1800.0,1.0,142.0,Medio
32.0,88.2,2.1,4.0,7.6,3.0,8.0,1800.0,0.0,231.0,Bajo
34.0,66.9,7.3,2.0,5.9,5.0,4.0,1800.0,0.0,38.0,Medio
20.0,72.7,10.2,4.0,8.4,3.0,5.0,1800.0,1.0,248.0,Bajo
25.0,99.8,3.4,1.0,6.1,6.0,7.0,1800.0,0.0,127.0,Bajo
35.0,75.7,8.9,3.0,6.4,4.0,9.0,1800.0,2.0,70.0,Medio
37.0,111.2,8.0,4.0,6.5,3.0,9.0,1800.0,1.0,37.0,Medio
28.0,82.0,9.3,4.0,7.1,3.0,7.0,1800.0,4.0,84.0,Medio
36.0,87.3,9.6,3.0,7.6,4.0,10.0,1800.0,3.0,0.0,Medio
37.0,103.0,4.9,4.0,7.8,3.0,6.0,1800.0,1.0,71.0,Bajo
26.0,83.7,2.1,4.0,7.2,3.0,8.0,1775.0,1.0,82.0,Bajo
38.0,69.0,5.4,2.0,5.6,5.0,5.0,1800.0,2.0,25.0,Medio
24.0,80.6,9.7,2.0,8.1,5.0,7.0,1800.0,5.0,152.0,Bajo
23.0,81.5,5.4,4.0,7.1,3.0,2.0,1024.0,1.0,85.0,Bajo
33.0,64.3,4.9,6.0,8.6,1.0,4.0,1800.0,1.0,55.0,Bajo
32.0,78.7,1.5,5.0,6.4,2.0,7.0,1057.0,0.0,77.0,Bajo
21.0,72.4,12.3,4.0,5.3,3.0,4.0,1800.0,0.0,125.0,Bajo
37.0,94.0,9.5,6.0,7.2,1.0,7.0,1800.0,3.0,105.0,Alto
22.0,82.4,9.3,6.0,8.8,1.0,8.0,1800.0,3.0,51.0,Alto
36.0,78.3,9.9,4.0,7.4,3.0,6.0,1800.0,5.0,109.0,Medio
18.0,80.6,8.7,1.0,7.0,6.0,5.0,1800.0,4.0,96.0,Medio
36.0,84.9,6.3,4.0,6.2,3.0,6.0,1800.0,7.0,20.0,Medio
36.0,90.0,6.5,4.0,9.3,3.0,5.0,1800.0,2.0,80.0,Bajo
35.0,69.0,5.7,2.0,6.0,5.0,6.0,1800.0,2.0,141.0,Bajo
33.0,68.5,14.9,6.0,6.3,1.0,7.0,1800.0,0.0,140.0,Medio
28.0,96.4,8.7,6.0,7.9,1.0,6.0,1800.0,4.0,84.0,Alto
34.0,76.6,5.6,2.0,5.0,5.0,10.0,1800.0,2.0,147.0,Medio
