age,weight_kg,training_hours,training_days,sleep_hours,rest_days,intensity,weekly_load,pain,competition_minutes,risk
20,74.4,6.9,5,8.9,2,8,1800.0,0.0,21.0,Bajo
35,81.4,5.0,3,7.8,4,8,1800.0,0.0,76.0,Medio
33,85.6,9.1,3,7.2,4,7,1800.0,3.0,61.0,Medio
28,68.9,11.3,6,6.5,1,6,1800.0,2.0,48.0,Medio
27,91.4,5.6,6,7.6,1,8,1800.0,0.0,52.0,Medio
37,82.8,8.5,2,8.4,5,9,1800.0,2.0,137.0,Medio
19,57.4,6.3,2,6.2,5,7,1800.0,0.0,242.0,Bajo
34,56.5,8.1,5,7.2,2,10,1800.0,6.0,157.0,Alto
22,81.8,11.7,6,8.2,1,8,1800.0,1.0,179.0,Alto
20,79.1,8.5,1,4.9,6,7,1800.0,4.0,74.0,Alto
30,80.7,1.7,6,7.1,1,7,1280.0,4.0,107.0,Medio
40,81.6,8.4,3,6.7,4,7,1800.0,0.0,130.0,Medio
34,84.9,10.7,4,7.0,3,4,1800.0,2.0,54.0,Alto
35,94.3,6.3,1,6.6,6,6,1800.0,3.0,70.0,Medio
34,67.6,10.0,5,7.4,2,7,1800.0,2.0,160.0,Medio
36,66.8,4.9,5,9.5,2,6,1800.0,3.0,176.0,Medio
29,67.8,2.5,4,6.8,3,7,1625.0,0.0,105.0,Bajo
20,85.8,7.4,5,7.6,2,7,1800.0,3.0,16.0,Medio
37,98.2,1.7,6,9.6,1,8,1485.0,1.0,79.0,Bajo
28,76.4,6.3,6,6.5,1,8,1800.0,3.0,0.0,Alto
29,50.0,10.9,5,9.4,2,7,1800.0,4.0,105.0,Alto
26,59.8,1.3,6,7.2,1,4,544.0,4.0,118.0,Bajo
22,71.2,3.2,5,9.3,2,10,1800.0,3.0,81.0,Bajo
39,74.7,3.9,5,8.1,2,6,1800.0,3.0,117.0,Bajo
35,76.7,6.8,4,7.6,3,6,1800.0,4.0,129.0,Alto
32,82.5,5.9,5,7.1,2,6,,5.0,118.0,Alto
27,77.9,11.2,1,6.5,6,6,1800.0,2.0,16.0,Bajo
36,95.6,9.9,4,7.3,3,9,1800.0,3.0,82.0,Alto
30,73.2,8.5,3,8.3,4,9,1800.0,4.0,129.0,Alto
28,70.8,7.4,6,7.2,1,7,1800.0,1.0,211.0,Alto
28,88.2,8.2,1,6.8,6,6,1800.0,0.0,81.0,Bajo
23,62.0,4.4,4,6.9,3,8,1800.0,3.0,139.0,Alto
20,87.1,9.6,2,8.4,5,7,1800.0,2.0,161.0,Bajo
30,83.3,3.7,6,8.7,1,6,1800.0,0.0,86.0,Bajo
38,80.1,9.5,6,6.4,1,7,1800.0,3.0,180.0,Alto
19,102.6,10.6,2,6.4,5,6,1800.0,5.0,184.0,Medio
37,73.9,7.6,6,7.7,1,7,1800.0,0.0,197.0,Medio
37,108.8,6.5,3,9.0,4,7,1800.0,4.0,132.0,Bajo
24,79.1,8.2,6,8.6,1,8,1800.0,0.0,265.0,Medio
32,65.4,1.0,5,5.7,2,5,434.0,1.0,57.0,Bajo
